Cycle_ID,Raag_Name,Notes
58,bairagi,"S,r,m,P,n"
58,dhani,"S,g,m,P,n"
59,malkauns,"S,g,m,d,n"
59,chandrakauns,"S,g,m,d,N"
59,girija,"S,G,m,d,N"
59,bhinna shadja,"S,G,m,D,N"
59,hindol,"S,G,M,D,N"
59,amritavarshini,"S,G,M,P,N"
59,marukauns,"S,G,M,P,n"
59,devashree,"S,R,M,P,n"
59,megh,"S,R,m,P,n"
59,durga,"S,R,m,P,D"
59,shivaranjani,"S,R,g,P,D"
59,bhoop / deshkar,"S,R,G,P,D"
59,hansadhwani,"S,R,G,P,N"
59,prateeksha,"S,R,G,P,d"
59,vibhas,"S,r,G,P,d"
59,bhoopal todi,"S,r,g,P,d"
59,gunakali,"S,r,m,P,d"
59,bairagi,"S,r,m,P,n"
59,dhani,"S,g,m,P,n"
60,malkauns,"S,g,m,d,n"
60,chandrakauns,"S,g,m,d,N"
60,girija,"S,G,m,d,N"
60,bhinna shadja,"S,G,m,D,N"
60,hindol,"S,G,M,D,N"
60,amritavarshini,"S,G,M,P,N"
60,marukauns,"S,G,M,P,n"
60,devashree,"S,R,M,P,n"
60,megh,"S,R,m,P,n"
60,durga,"S,R,m,P,D"
60,shivaranjani,"S,R,g,P,D"
60,bhoop / deshkar,"S,R,G,P,D"
60,hansadhwani,"S,R,G,P,N"
60,prateeksha,"S,R,G,P,d"
60,vibhas,"S,r,G,P,d"
60,gunakali,"S,r,m,P,d"
60,manoranjani,"S,r,m,P,D"
60,bairagi,"S,r,m,P,n"
60,dhani,"S,g,m,P,n"
61,malkauns,"S,g,m,d,n"
61,chandrakauns,"S,g,m,d,N"
61,girija,"S,G,m,d,N"
61,bhinna shadja,"S,G,m,D,N"
61,hindol,"S,G,M,D,N"
61,amritavarshini,"S,G,M,P,N"
61,marukauns,"S,G,M,P,n"
61,devashree,"S,R,M,P,n"
61,megh,"S,R,m,P,n"
61,durga,"S,R,m,P,D"
61,bhoop / deshkar,"S,R,G,P,D"
61,hansadhwani,"S,R,G,P,N"
61,prateeksha,"S,R,G,P,d"
61,vibhas,"S,r,G,P,d"
61,bhoopal todi,"S,r,g,P,d"
61,gunakali,"S,r,m,P,d"
61,manoranjani,"S,r,m,P,D"
61,bairagi,"S,r,m,P,n"
61,dhani,"S,g,m,P,n"
62,malkauns,"S,g,m,d,n"
62,chandrakauns,"S,g,m,d,N"
62,girija,"S,G,m,d,N"
62,bhinna shadja,"S,G,m,D,N"
62,hindol,"S,G,M,D,N"
62,amritavarshini,"S,G,M,P,N"
62,marukauns,"S,G,M,P,n"
62,devashree,"S,R,M,P,n"
62,megh,"S,R,m,P,n"
62,durga,"S,R,m,P,D"
62,bhoop / deshkar,"S,R,G,P,D"
62,hansadhwani,"S,R,G,P,N"
62,prateeksha,"S,R,G,P,d"
62,vibhas,"S,r,G,P,d"
62,gunakali,"S,r,m,P,d"
62,bhoopal todi,"S,r,g,P,d"
62,bairagi todi,"S,r,g,P,n"
62,bairagi,"S,r,m,P,n"
62,dhani,"S,g,m,P,n"
63,malkauns,"S,g,m,d,n"
63,chandrakauns,"S,g,m,d,N"
63,girija,"S,G,m,d,N"
63,bhinna shadja,"S,G,m,D,N"
63,hindol,"S,G,M,D,N"
63,amritavarshini,"S,G,M,P,N"
63,marukauns,"S,G,M,P,n"
63,madhukauns,"S,g,M,P,n"
63,devashree,"S,R,M,P,n"
63,megh,"S,R,m,P,n"
63,durga,"S,R,m,P,D"
63,shivaranjani,"S,R,g,P,D"
63,bhoop / deshkar,"S,R,G,P,D"
63,prateeksha,"S,R,G,P,d"
63,vibhas,"S,r,G,P,d"
63,bhoopal todi,"S,r,g,P,d"
63,bairagi todi,"S,r,g,P,n"
63,bairagi,"S,r,m,P,n"
63,dhani,"S,g,m,P,n"
64,malkauns,"S,g,m,d,n"
64,chandrakauns,"S,g,m,d,N"
64,girija,"S,G,m,d,N"
64,bhinna shadja,"S,G,m,D,N"
64,hindol,"S,G,M,D,N"
64,amritavarshini,"S,G,M,P,N"
64,marukauns,"S,G,M,P,n"
64,madhukauns,"S,g,M,P,n"
64,devashree,"S,R,M,P,n"
64,megh,"S,R,m,P,n"
64,durga,"S,R,m,P,D"
64,shivaranjani,"S,R,g,P,D"
64,bhoop / deshkar,"S,R,G,P,D"
64,prateeksha,"S,R,G,P,d"
64,vibhas,"S,r,G,P,d"
64,bhoopal todi,"S,r,g,P,d"
64,gunakali,"S,r,m,P,d"
64,bairagi,"S,r,m,P,n"
64,dhani,"S,g,m,P,n"
65,malkauns,"S,g,m,d,n"
