phrase_id,raag,phrase,len,idf,n_own,n_legal_raags,auc_legal,auc_legal_video,auc_twin,auc_shuffle,hit_at_fpr,med_own,med_legal,med_illegal,passes
Deshkar#3,Deshkar,P D G P,4,2.829,55,15,0.677,0.775,0.698,0.487,0.455,1.55,3.0,3.0,False
Dhani#0,Dhani,",n S g",3,1.999,50,12,0.668,0.746,nan,0.662,0.24,0.2,0.77,1.42,False
Dhani#1,Dhani,S g m P g,5,1.81,50,11,0.647,0.704,nan,0.665,0.32,2.81,3.0,3.0,False
Dhani#2,Dhani,n P g S,4,2.829,50,11,0.62,0.682,nan,0.559,0.3,3.0,3.0,3.0,False
Durga#1,Durga,"m R ,D S",4,2.815,45,15,0.502,0.61,nan,0.608,0.133,3.0,3.0,3.0,False
Hameer#0,Hameer,G m N D,4,3.374,20,9,0.725,0.587,0.682,0.708,0.0,1.31,2.83,3.0,True
Hameer#2,Hameer,G m P G m R S,7,1.526,20,9,0.513,0.623,0.481,0.576,0.1,3.0,3.0,3.0,False
HansDhwani#0,HansDhwani,",N R G P G R G P N `S",10,2.298,30,11,0.474,0.537,nan,0.623,0.767,3.0,3.0,3.0,False
HansDhwani#1,HansDhwani,`S N P G R G P G R S,10,2.215,30,11,0.515,0.602,nan,0.609,0.8,3.0,3.0,3.0,False
Hindol#0,Hindol,D N M D `S,5,3.109,30,9,0.553,0.71,nan,0.421,0.233,3.0,3.0,3.0,False
Hindol#1,Hindol,D M G,3,2.74,30,7,0.582,0.656,nan,0.555,0.3,0.88,1.68,1.38,False
Hindol#2,Hindol,"S ,D S",3,2.397,30,28,0.661,0.746,nan,nan,0.233,0.18,1.01,1.39,False
Jaijaivanti#0,Jaijaivanti,",D ,n R",3,3.477,45,9,0.625,0.736,nan,0.59,0.267,0.88,1.75,2.65,False
Jaijaivanti#1,Jaijaivanti,R g R S,4,1.99,45,10,0.495,0.462,nan,0.696,0.178,0.41,0.35,1.05,False
Jaijaivanti#3,Jaijaivanti,R m P N,4,1.565,45,13,0.523,0.457,nan,0.604,0.022,2.35,3.0,3.0,False
Jog#0,Jog,G m P n P,5,1.648,30,8,0.563,0.718,nan,0.632,0.267,3.0,3.0,3.0,False
Jog#1,Jog,P n P m G m,6,1.674,30,8,0.499,0.647,nan,0.598,0.133,3.0,3.0,3.0,False
Jog#2,Jog,G m g S,4,1.942,30,2,0.624,0.536,nan,0.646,0.1,0.75,1.44,1.38,False
Kafi#2,Kafi,m P D P,4,1.252,35,16,0.494,0.57,0.513,0.57,0.171,2.36,1.91,1.56,False
Kafi#6,Kafi,D m P g R,5,1.983,35,6,0.403,0.307,0.364,0.572,0.057,3.0,3.0,3.0,False
Kalawati#0,Kalawati,S G P D,4,2.243,15,15,0.737,0.828,nan,0.664,0.4,0.9,3.0,3.0,True
