phrase_id,raag,phrase,len,idf,n_own,n_legal_raags,auc_legal,auc_legal_video,auc_twin,auc_shuffle,hit_at_fpr,med_own,med_legal,med_illegal,passes
AheerBhairav#4,AheerBhairav,n D P m G m,6,1.319,55,5,0.428,0.427,nan,0.65,0.073,3.0,1.47,2.78,False
AheerBhairav#5,AheerBhairav,G m P m r S,6,1.761,55,1,0.465,0.447,nan,0.665,0.091,3.0,2.95,3.0,False
AheerBhairav#6,AheerBhairav,",n ,D ,n r S",5,2.759,55,0,nan,nan,nan,0.69,nan,0.91,nan,1.68,False
AlhaiyaBilawal#0,AlhaiyaBilawal,G R G P,4,2.089,50,14,0.634,0.707,0.633,0.601,0.34,0.42,1.98,2.96,False
AlhaiyaBilawal#1,AlhaiyaBilawal,D n D P,4,1.495,50,11,0.532,0.605,0.535,0.581,0.32,0.23,0.4,1.17,False
AlhaiyaBilawal#3,AlhaiyaBilawal,G P D N `S,5,1.773,50,11,0.572,0.805,0.6,0.708,0.24,2.16,3.0,3.0,False
Bageshree#0,Bageshree,",n S m",3,2.742,40,19,0.633,0.743,0.626,0.637,0.2,0.41,1.45,1.8,False
Bageshree#4,Bageshree,m D n D,4,1.895,40,10,0.576,0.664,0.57,0.67,0.225,0.73,1.4,2.39,False
Bahar#1,Bahar,P m g m,4,1.592,15,11,0.598,0.73,0.669,0.672,0.267,0.69,1.24,1.29,False
Bahar#3,Bahar,m n D N `S,5,2.322,15,6,0.733,0.779,0.688,0.751,0.533,0.26,3.0,3.0,True
Bahar#6,Bahar,g m R S,4,1.529,15,8,0.461,0.525,0.473,0.501,0.067,2.27,1.69,1.56,False
Bairagi#0,Bairagi,m P n P m r,6,1.956,40,2,0.513,0.675,nan,0.609,0.125,3.0,3.0,3.0,False
Bairagi#1,Bairagi,r P m r S,5,2.787,40,3,0.567,0.619,nan,0.64,0.1,3.0,3.0,3.0,False
Bairagi#2,Bairagi,",n S r S",4,2.154,40,2,0.52,0.429,nan,0.519,0.225,0.29,0.42,1.05,False
Basant#0,Basant,M d `r `S,4,3.269,25,5,0.568,0.678,0.561,0.751,0.12,1.33,1.58,1.69,False
Basant#1,Basant,N `S `r N d P,6,2.237,25,5,0.528,0.418,0.545,0.73,0.08,1.4,1.78,1.7,False
Basant#2,Basant,G M d N M G,6,3.245,25,3,0.463,0.404,0.482,0.489,0.08,3.0,3.0,3.0,False
Basant#3,Basant,M d G M G,5,3.488,25,3,0.483,0.408,0.533,0.512,0.16,2.98,2.89,2.39,False
Basant#4,Basant,M G M G r S,6,2.275,25,6,0.541,0.511,0.537,0.711,0.16,3.0,3.0,2.65,False
Bhairav#2,Bhairav,G m d P,4,2.307,30,2,0.639,0.606,nan,0.592,0.1,0.47,0.9,1.49,False
Bhairav#3,Bhairav,G m r S,4,2.288,30,2,0.473,0.567,nan,0.679,0.1,1.0,0.88,1.78,False
Bhairavi#0,Bhairavi,g S r S,4,2.523,20,2,0.639,0.583,nan,0.498,0.25,0.26,0.75,1.23,False
Bhairavi#2,Bhairavi,d m d n `S,5,2.579,20,4,0.514,0.38,nan,0.613,0.0,3.0,3.0,3.0,False
Bhairavi#3,Bhairavi,`r `S d P g m r S,8,2.56,20,0,nan,nan,nan,0.58,nan,3.0,nan,3.0,False
Bheempalasi#0,Bheempalasi,",n S g m P",5,1.818,40,10,0.575,0.791,0.625,0.633,0.275,3.0,3.0,3.0,False
Bhoopali#3,Bhoopali,`S D P G,4,1.865,35,15,0.506,0.559,0.437,0.653,0.143,1.95,2.67,3.0,False
Bhoopali#4,Bhoopali,P G R G,4,2.013,35,14,0.55,0.754,0.615,0.576,0.2,0.58,1.62,2.56,False
Bihag#0,Bihag,",N S G",3,1.87,50,22,0.616,0.587,0.57,0.545,0.32,0.12,0.6,0.87,False
Bihag#2,Bihag,P M P G m G,6,1.956,50,2,0.546,0.573,0.546,0.785,0.16,0.36,0.45,2.19,False
Bihag#3,Bihag,P M G m G R S,7,1.897,50,2,0.546,0.645,0.546,0.778,0.18,1.92,1.75,2.99,False
Chandrakauns#0,Chandrakauns,"S g m g S ,N",6,2.173,40,5,0.694,0.741,nan,0.639,0.275,1.38,3.0,3.0,False
Chandrakauns#2,Chandrakauns,g m d N `S,5,2.375,40,2,0.596,0.681,nan,0.663,0.3,2.52,3.0,3.0,False
Chandrakauns#3,Chandrakauns,N d `S,3,2.548,40,9,0.682,0.784,nan,0.362,0.3,0.48,2.48,1.46,False
Chandrakauns#4,Chandrakauns,"N d m g m g S ,N S",9,2.26,40,2,0.62,0.875,nan,0.689,0.95,3.0,3.0,3.0,False
Charukeshi#0,Charukeshi,",d ,n S R G m G R",8,1.8,30,1,0.561,0.733,nan,0.688,0.267,3.0,3.0,3.0,False
Charukeshi#1,Charukeshi,R G m d P,5,2.236,30,1,0.435,0.3,nan,0.627,0.0,2.02,1.9,2.86,False
Charukeshi#2,Charukeshi,R G m R S,5,1.593,30,9,0.488,0.577,nan,0.623,0.133,2.07,2.02,3.0,False
DarbariKanada#0,DarbariKanada,S R g R g,5,2.369,30,10,0.585,0.626,nan,0.603,0.233,0.52,0.83,2.53,False
DarbariKanada#1,DarbariKanada,m P d P d n P,7,2.196,30,3,0.478,0.506,nan,0.531,0.133,3.0,3.0,3.0,False
DarbariKanada#2,DarbariKanada,n m P `S,4,2.64,30,18,0.485,0.33,nan,0.477,0.067,3.0,3.0,3.0,False
DarbariKanada#3,DarbariKanada,`S n d n P m P m g m R S,12,1.814,30,1,0.6,0.5,nan,0.58,1.0,3.0,3.0,3.0,False
Des#0,Des,D S m G R,5,2.483,40,8,0.485,0.545,0.535,0.566,0.075,3.0,3.0,3.0,False
Des#1,Des,"G ,N S",3,3.443,40,22,0.51,0.422,0.458,0.644,0.075,0.86,0.9,1.04,False
Des#2,Des,R m P N,4,1.565,40,13,0.514,0.539,0.528,0.523,0.075,2.78,3.0,3.0,False
Des#3,Des,`S `R n D P,5,1.89,40,9,0.512,0.566,0.515,0.558,0.125,3.0,3.0,3.0,False
Deshkar#0,Deshkar,S R G P D,5,1.855,55,12,0.53,0.659,0.457,0.631,0.127,3.0,3.0,3.0,False
Deshkar#1,Deshkar,D G P,3,3.023,55,15,0.593,0.595,0.631,0.463,0.255,1.16,2.75,2.87,False
Deshkar#3,Deshkar,P D G P,4,2.829,55,15,0.638,0.68,0.691,0.483,0.291,1.11,3.0,3.0,False
Dhani#0,Dhani,",n S g",3,1.999,50,12,0.65,0.649,nan,0.553,0.28,0.09,0.46,1.32,False
Dhani#1,Dhani,S g m P g,5,1.81,50,11,0.632,0.729,nan,0.609,0.26,2.74,3.0,3.0,False
Dhani#2,Dhani,n P g S,4,2.829,50,11,0.627,0.731,nan,0.556,0.32,1.75,3.0,3.0,False
Durga#1,Durga,"m R ,D S",4,2.815,45,15,0.484,0.564,nan,0.59,0.133,3.0,3.0,3.0,False
Hameer#0,Hameer,G m N D,4,3.374,20,9,0.716,0.625,0.698,0.652,0.1,1.09,2.52,3.0,True
Hameer#2,Hameer,G m P G m R S,7,1.526,20,9,0.524,0.71,0.484,0.553,0.1,3.0,3.0,3.0,False
HansDhwani#0,HansDhwani,",N R G P G R G P N `S",10,2.298,30,11,0.433,0.412,nan,0.597,0.733,3.0,3.0,3.0,False
HansDhwani#1,HansDhwani,`S N P G R G P G R S,10,2.215,30,11,0.426,0.47,nan,0.53,0.7,3.0,3.0,3.0,False
Hindol#0,Hindol,D N M D `S,5,3.109,30,9,0.566,0.657,nan,0.44,0.133,3.0,3.0,3.0,False
Hindol#1,Hindol,D M G,3,2.74,30,7,0.544,0.52,nan,0.523,0.233,0.68,1.18,1.21,False
Hindol#2,Hindol,"S ,D S",3,2.397,30,28,0.626,0.67,nan,nan,0.333,0.08,0.68,1.16,False
Jaijaivanti#0,Jaijaivanti,",D ,n R",3,3.477,45,9,0.623,0.707,nan,0.556,0.333,0.4,1.24,2.0,False
Jaijaivanti#1,Jaijaivanti,R g R S,4,1.99,45,10,0.534,0.577,nan,0.689,0.311,0.28,0.26,0.85,False
Jaijaivanti#3,Jaijaivanti,R m P N,4,1.565,45,13,0.522,0.519,nan,0.583,0.044,2.21,3.0,3.0,False
Jog#0,Jog,G m P n P,5,1.648,30,8,0.512,0.704,nan,0.577,0.2,3.0,3.0,3.0,False
Jog#1,Jog,P n P m G m,6,1.674,30,8,0.459,0.551,nan,0.573,0.1,3.0,3.0,3.0,False
Jog#2,Jog,G m g S,4,1.942,30,2,0.576,0.607,nan,0.614,0.133,0.84,0.66,1.15,False
Kafi#2,Kafi,m P D P,4,1.252,35,16,0.507,0.474,0.541,0.58,0.114,0.67,1.72,1.26,False
Kafi#6,Kafi,D m P g R,5,1.983,35,6,0.422,0.441,0.358,0.572,0.086,3.0,3.0,3.0,False
Kalawati#0,Kalawati,S G P D,4,2.243,15,15,0.684,0.773,nan,0.572,0.267,1.55,3.0,3.0,False
Kalawati#1,Kalawati,P D n D,4,1.686,15,11,0.74,0.711,nan,0.617,0.333,0.04,0.47,1.42,True
Kalawati#3,Kalawati,G P D S n,5,2.009,15,6,0.73,0.787,nan,0.716,0.2,1.16,3.0,3.0,True
Kalawati#7,Kalawati,P G S,3,2.991,15,24,0.639,0.676,nan,0.635,0.333,0.07,1.29,2.08,False
Kalawati#8,Kalawati,n D S,3,1.8,15,11,0.722,0.693,nan,0.501,0.533,0.0,0.29,1.16,False
KaushikDhwani#0,KaushikDhwani,G m D N D `S,6,2.139,30,9,0.552,0.544,nan,0.596,0.3,3.0,3.0,3.0,False
KaushikDhwani#1,KaushikDhwani,N `S D,3,1.966,30,19,0.455,0.334,nan,0.528,0.467,0.69,0.14,0.61,False
KaushikDhwani#3,KaushikDhwani,D m G S,4,2.43,30,10,0.428,0.498,nan,0.47,0.167,3.0,3.0,3.0,False
Kedar#2,Kedar,M P D P m,5,1.449,40,3,0.486,0.56,nan,0.577,0.15,1.31,1.11,1.87,False
Kedar#3,Kedar,S R S,3,1.387,40,26,0.526,0.599,nan,nan,0.325,0.08,0.12,0.52,False
Kedar#4,Kedar,M P D P M,5,1.632,40,6,0.469,0.44,nan,0.53,0.075,1.33,1.14,2.91,False
Kedar#6,Kedar,`S `R `S D P,5,1.846,40,21,0.49,0.526,nan,0.591,0.1,3.0,3.0,3.0,False
Keerwani#0,Keerwani,P d `S,3,2.246,20,11,0.383,0.358,nan,0.542,0.05,1.69,1.0,0.96,False
Keerwani#1,Keerwani,`S N `S `R `g `R `S N d P,10,1.804,20,1,0.46,0.4,nan,0.534,0.05,3.0,3.0,3.0,False
Keerwani#2,Keerwani,d P m P,4,1.355,20,5,0.681,0.528,nan,0.503,0.25,0.32,1.37,1.5,False
Keerwani#3,Keerwani,P m g R,4,1.584,20,8,0.527,0.394,nan,0.762,0.1,0.84,1.04,1.28,False
Keerwani#5,Keerwani,"g R S ,N ,d ,N R S",8,2.299,20,1,0.398,0.2,nan,0.5,0.0,3.0,3.0,3.0,False
Khamaj#0,Khamaj,G m P D,4,1.222,35,9,0.592,0.703,0.59,0.677,0.229,0.59,1.33,1.74,False
Khamaj#2,Khamaj,P `S N `S,4,2.086,35,25,0.408,0.462,0.367,0.641,0.086,1.19,0.75,0.94,False
Khamaj#4,Khamaj,m P m G,4,1.19,35,13,0.483,0.546,0.527,0.464,0.2,0.85,0.75,0.94,False
Lalit#0,Lalit,",N r G m M m G r S",9,2.959,45,0,nan,nan,nan,0.678,nan,3.0,nan,3.0,False
Lalit#1,Lalit,G M d N d M m,7,3.219,45,0,nan,nan,nan,0.615,nan,3.0,nan,3.0,False
Lalit#2,Lalit,`r N d M m,5,3.361,45,0,nan,nan,nan,0.686,nan,2.49,nan,2.42,False
Lalit#3,Lalit,G m M m,4,3.806,45,3,0.533,0.638,nan,0.512,0.178,0.35,0.46,1.06,False
Lalit#4,Lalit,M G r S,4,2.027,45,6,0.555,0.423,nan,0.567,0.044,1.25,1.74,1.53,False
Madhukauns#0,Madhukauns,S g M,3,2.75,45,3,0.59,0.616,nan,0.668,0.311,0.28,0.54,1.61,False
Madhukauns#1,Madhukauns,P M g M P,5,2.775,45,3,0.513,0.346,nan,0.555,0.022,0.55,1.02,3.0,False
Madhukauns#2,Madhukauns,M P n `S,4,2.049,45,0,nan,nan,nan,0.616,nan,0.47,nan,2.03,False
Madhukauns#3,Madhukauns,`S n P M,4,2.044,45,0,nan,nan,nan,0.716,nan,0.19,nan,1.89,False
Madhukauns#4,Madhukauns,g M g S,4,2.962,45,3,0.503,0.465,nan,0.507,0.089,1.83,3.0,2.5,False
Madhuvanti#0,Madhuvanti,",N S M g M P",6,3.212,50,2,0.578,0.542,nan,0.624,0.08,3.0,3.0,3.0,False
Madhuvanti#1,Madhuvanti,M g S R S,5,2.328,50,0,nan,nan,nan,0.623,nan,3.0,nan,3.0,False
Malhar#2,Malhar,g m R S,4,1.529,35,8,0.497,0.5,0.527,0.588,0.143,1.22,1.77,1.86,False
Malhar#3,Malhar,",n D ,N S",4,1.927,35,6,0.595,0.628,0.221,0.635,0.2,0.29,0.66,1.22,False
Malkauns#0,Malkauns,",d ,n S g m",5,2.053,50,3,0.597,0.787,nan,0.61,0.24,3.0,3.0,3.0,False
Malkauns#1,Malkauns,g m n d m,5,2.932,50,3,0.522,0.547,nan,0.554,0.08,3.0,3.0,3.0,False
Malkauns#3,Malkauns,`g `S n d,4,2.059,50,3,0.611,0.687,nan,0.645,0.22,0.68,2.75,2.36,False
MaruBihag#1,MaruBihag,M G R S,4,1.896,35,3,0.546,0.364,0.532,0.671,0.114,0.2,1.15,1.53,False
MaruBihag#3,MaruBihag,m G P,3,2.194,35,13,0.522,0.452,0.47,0.452,0.257,0.14,0.18,0.59,False
MaruBihag#4,MaruBihag,M G M G R S,6,2.202,35,3,0.512,0.51,0.5,0.668,0.286,3.0,2.48,2.93,False
Marwa#0,Marwa,",N ,D S ,N r",5,2.361,25,2,0.721,0.613,0.718,0.529,0.16,0.3,1.19,1.51,False
Marwa#1,Marwa,r G M D,4,2.557,25,2,0.72,0.794,0.737,0.6,0.52,1.06,3.0,2.38,True
Marwa#2,Marwa,D M G r,4,2.602,25,2,0.683,0.919,0.701,0.605,0.4,2.48,3.0,3.0,False
Marwa#3,Marwa,",N ,D r S",4,3.415,25,2,0.719,0.688,0.656,0.413,0.16,0.3,1.11,1.38,False
Multani#2,Multani,M g P,3,3.508,30,3,0.688,0.587,0.78,0.419,0.367,0.05,0.81,1.37,False
Multani#3,Multani,M g M g r S,6,2.844,30,1,0.532,0.917,0.532,0.549,0.3,3.0,3.0,3.0,False
Pilu#0,Pilu,G m P N `S,5,1.342,25,10,0.318,0.271,nan,0.675,0.0,3.0,1.64,2.85,False
Pilu#2,Pilu,m P N d P,5,2.071,25,2,0.557,0.61,nan,0.682,0.08,1.91,3.0,3.0,False
Pilu#4,Pilu,"P g R S ,N",5,1.701,25,5,0.467,0.479,nan,0.623,0.2,3.0,2.63,3.0,False
Pilu#5,Pilu,S g R S,4,2.242,25,10,0.491,0.596,nan,0.681,0.2,1.31,0.56,1.24,False
PuriyaDhanashri#0,PuriyaDhanashri,",N r G M P",5,2.584,35,3,0.577,0.66,0.562,0.768,0.143,1.8,2.41,3.0,False
PuriyaDhanashri#1,PuriyaDhanashri,P M G M r G,6,2.895,35,3,0.564,0.622,0.554,0.491,0.257,3.0,3.0,3.0,False
PuriyaDhanashri#2,PuriyaDhanashri,M d P,3,2.827,35,4,0.426,0.357,0.446,0.46,0.229,0.35,0.15,0.52,False
