phrase_id,raag,phrase,len,idf,n_own,n_legal_raags,auc_legal,auc_legal_video,auc_twin,auc_shuffle,hit_at_fpr,med_own,med_legal,med_illegal,passes
PuriyaDhanashri#3,PuriyaDhanashri,M d N `S,4,2.291,35,5,0.494,0.445,0.509,0.666,0.057,1.63,1.32,1.56,False
PuriyaDhanashri#6,PuriyaDhanashri,P d P M G M r G,8,2.712,35,2,0.58,0.668,0.58,0.584,0.229,3.0,3.0,3.0,False
PuriyaKalyan#0,PuriyaKalyan,",N r G M P M r G r S",10,2.719,35,3,0.459,0.354,nan,0.685,0.0,3.0,3.0,3.0,False
PuriyaKalyan#1,PuriyaKalyan,M D P,3,2.351,35,6,0.397,0.494,nan,0.45,0.171,2.57,0.34,1.05,False
PuriyaKalyan#2,PuriyaKalyan,M D N `S,4,1.985,35,9,0.46,0.569,nan,0.625,0.114,1.75,1.24,1.52,False
Sarang#2,Sarang,"m R ,N S",4,2.601,50,13,0.613,0.676,nan,0.566,0.3,0.49,1.2,1.46,False
Sarang#3,Sarang,"m P n P m R ,N S",8,2.087,50,7,0.505,0.609,nan,0.652,0.12,3.0,3.0,3.0,False
Shankara#0,Shankara,G P N D `S N,6,2.361,70,11,0.524,0.549,nan,0.593,0.157,3.0,3.0,3.0,False
Shankara#1,Shankara,D P G P,4,2.233,70,15,0.52,0.455,nan,0.61,0.043,2.31,2.74,2.88,False
Shankara#2,Shankara,R G R S,4,1.819,70,14,0.415,0.435,nan,0.566,0.086,1.69,0.9,1.34,False
Shivranjani#0,Shivranjani,R g P,3,3.277,25,10,0.601,0.721,nan,0.608,0.28,0.55,1.24,1.52,False
Shivranjani#1,Shivranjani,D P g R,4,2.128,25,8,0.525,0.712,nan,0.75,0.12,1.48,2.52,3.0,False
Shivranjani#2,Shivranjani,g S R D S,5,2.567,25,8,0.471,0.628,nan,0.53,0.08,3.0,3.0,3.0,False
Shree#0,Shree,"S ,N r",3,2.48,45,9,0.556,0.534,0.543,0.483,0.444,0.01,0.1,0.58,False
Shree#2,Shree,M P d M G r G r S,9,2.663,45,2,0.66,0.852,0.66,0.79,0.933,3.0,3.0,3.0,False
Shree#3,Shree,M P N `S `r,5,1.903,45,5,0.528,0.663,0.485,0.711,0.222,1.46,1.44,1.87,False
Shree#4,Shree,`r N d P,4,2.334,45,5,0.47,0.533,0.455,0.697,0.178,1.83,1.33,1.67,False
Shree#5,Shree,M d M G r,5,2.983,45,3,0.669,0.878,0.665,0.734,0.467,1.29,2.98,3.0,False
Sohani#0,Sohani,M D N `S `r `S,6,2.118,45,2,0.455,0.375,0.373,0.619,0.067,2.67,1.73,2.18,False
Sohani#1,Sohani,N D N D,4,2.474,45,19,0.445,0.533,0.312,0.487,0.133,2.08,1.16,1.4,False
Sohani#2,Sohani,`S `r `S `r N `S N D G M G,11,2.624,45,2,0.451,0.5,0.371,0.679,0.067,3.0,3.0,3.0,False
TilakKamod#0,TilakKamod,",P ,N S R G S",6,1.933,20,11,0.546,0.55,nan,0.57,0.3,3.0,3.0,3.0,False
TilakKamod#1,TilakKamod,R P m G,4,1.714,20,9,0.366,0.216,nan,0.483,0.0,2.98,2.35,3.0,False
TilakKamod#2,TilakKamod,"S R G S ,N",5,2.147,20,11,0.646,0.724,nan,0.597,0.25,1.15,2.11,3.0,False
TilakKamod#3,TilakKamod,S R m P `S,5,1.683,20,19,0.529,0.741,nan,0.558,0.1,3.0,3.0,3.0,False
TilakKamod#4,TilakKamod,`S `R `G `S,4,2.029,20,14,0.677,0.619,nan,0.611,0.2,0.36,1.9,1.54,False
TilakKamod#5,TilakKamod,`S P D m G,5,2.321,20,9,0.462,0.592,nan,0.524,0.1,3.0,3.0,3.0,False
TilakKamod#6,TilakKamod,S R m G,4,1.794,20,9,0.661,0.797,nan,0.704,0.25,0.47,1.07,1.14,False
TilakKamod#7,TilakKamod,"S R G S ,N",5,2.147,20,11,0.646,0.724,nan,0.536,0.25,1.15,2.11,2.28,False
Tilang#0,Tilang,G m P n P m G,7,1.538,20,8,0.485,0.671,nan,0.608,0.15,3.0,3.0,3.0,False
Tilang#1,Tilang,n P G m G,5,2.148,20,8,0.613,0.696,nan,0.745,0.4,0.14,1.84,2.24,False
Todi#0,Todi,",N S r g",4,2.146,30,1,0.602,0.861,0.602,0.6,0.333,0.37,0.78,0.81,False
Todi#1,Todi,M r g,3,3.655,30,1,0.466,0.667,0.466,0.524,0.2,1.7,1.63,1.41,False
Vibhas#0,Vibhas,P d P,3,2.134,40,11,0.52,0.506,nan,nan,0.425,0.17,0.1,0.5,False
Vibhas#1,Vibhas,G P G r S,5,2.256,40,6,0.543,0.636,nan,0.629,0.175,3.0,3.0,3.0,False
Yaman#0,Yaman,",N R G",3,2.664,35,11,0.575,0.707,nan,0.616,0.2,0.34,0.89,1.14,False
Yaman#1,Yaman,",N R M G",4,3.495,35,3,0.467,0.544,nan,0.541,0.143,2.45,1.55,1.74,False
Yaman#3,Yaman,M D P N D P M R G R,10,2.507,35,3,0.456,0.483,nan,0.554,0.029,3.0,3.0,3.0,False
Yaman#4,Yaman,",N R ,D ,N S",5,2.86,35,14,0.526,0.584,nan,0.444,0.229,3.0,3.0,3.0,False
