id,raag,phrase,len,df,idf,turns,kept
Jaijaivanti#2,Jaijaivanti,",N S",2,51,0.822,0,0
Jog#2,Jog,G m g S,4,4,1.942,1,1
Jog#1,Jog,P n P m G m,6,1,1.674,2,1
Jog#0,Jog,G m P n P,5,2,1.648,1,1
Kafi#6,Kafi,D m P g R,5,1,1.983,2,1
Kafi#2,Kafi,m P D P,4,2,1.252,1,1
Kafi#0,Kafi,g R,2,18,1.863,0,0
Kafi#3,Kafi,D n `S,3,13,1.641,0,0
Kafi#5,Kafi,S R m P,4,16,1.372,0,0
Kafi#4,Kafi,n D P,3,24,1.196,0,0
Kafi#1,Kafi,m P,2,66,0.564,0,0
Kalawati#7,Kalawati,P G S,3,1,2.991,0,1
Kalawati#0,Kalawati,S G P D,4,1,2.243,0,1
Kalawati#3,Kalawati,G P D S n,5,1,2.009,2,1
Kalawati#8,Kalawati,n D S,3,7,1.8,0,1
Kalawati#1,Kalawati,P D n D,4,7,1.686,1,1
Kalawati#6,Kalawati,D G,2,6,2.962,0,0
Kalawati#5,Kalawati,n P,2,21,1.709,0,0
Kalawati#4,Kalawati,D n S,3,13,1.641,1,0
Kalawati#2,Kalawati,D P,2,50,0.842,0,0
KaushikDhwani#3,KaushikDhwani,D m G S,4,2,2.43,0,1
KaushikDhwani#0,KaushikDhwani,G m D N D `S,6,2,2.139,2,1
KaushikDhwani#1,KaushikDhwani,N `S D,3,4,1.966,1,1
KaushikDhwani#2,KaushikDhwani,G m,2,38,1.116,0,0
Kedar#6,Kedar,`S `R `S D P,5,1,1.846,1,1
Kedar#4,Kedar,M P D P M,5,2,1.632,1,1
Kedar#2,Kedar,M P D P m,5,1,1.449,1,1
Kedar#3,Kedar,S R S,3,8,1.387,1,1
Kedar#0,Kedar,S m,2,11,2.356,0,0
Kedar#5,Kedar,P `S,2,14,2.115,0,0
Kedar#1,Kedar,m P,2,66,0.564,0,0
Keerwani#5,Keerwani,"g R S ,N ,d ,N R S",8,1,2.299,2,1
Keerwani#0,Keerwani,P d `S,3,7,2.246,0,1
Keerwani#1,Keerwani,`S N `S `R `g `R `S N d P,10,1,1.804,2,1
